place_name,rating,shop_type,sentence,TargetAspect
Hills and Valleys Coffee - Buhangin Davao,5,coffee,Their desserts are perfect pairs in their coffee.,Product Quality
Annipie Airport View,3,coffee,Very slow service.,Customer Service
BRGR Alley Café,4,coffee,courteous staff,Customer Service
Purge Coffee Roaster,5,coffee,"Great filtered coffee with options, delicious waffle!",Product Quality
Fika Cafe - Lapu-Lapu,4,coffee,"Friendly staff, adequate food selection, flavorful dishes, free Wi-Fi, and diner-friendly ambience.",Customer Service
TALA Cafe,5,coffee,"Chill place, not loud, can have a good conversation without having to talk over the background music.",Ambiance and Atmosphere
ROOFTOP Café Bar,4,coffee,Took a grab taxi from Blue Lotus Hotel and had a coffee.,Product Quality
ems Cafe and Resto,3,coffee,Place can get crowded during peak hours.,Ambiance and Atmosphere
Hygge Coffee,4,coffee,"I've actually been here a couple of times already before writing this review, and honestly I wouldn't highly recommend this coffee shop due to its slow food preparation process, where my friends and I usually have to wait for over 30 minutes for our meals (which happened earlier today).",Product Quality
Cafe Basilico,5,coffee,"Food is really Delicious, Coffee is Nice and Smooth… their authentic Italian style carbonara is one of my favorite, not all filipinos will appreciate the taste because we're used to the creamy carbonara but to me their carbonara is one of the most delicious pasta I've ever had, swiped the bread to the last traces of the sauce… It's that good I also LOVE their Tartufo Pasta, can eat it everyday and their 4-cheese pizza, the blue cheese brought my tasting palate to another dimension Love this place so much!",Product Quality
Darkk Coffee Co.,4,coffee,gives neighborhood coffee shop feels (which it actually is) mocha: they used to have really dark tasting mocha around 2025 but now their mocha is a too sweet.,Product Quality
Fiend Coffee Club,2,coffee,"Nevertheless, the order was served quickly, but the matcha was 2/5.",Product Quality
Dunkin' - Bago Aplaya,1,coffee,"if not followed up, no service crew will start making the order.",Customer Service
Whisk Davao Matcha,5,matcha,One of the must try matcha cafes in Davao.,Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,The cooks are the best the food is great and looks beautiful.,Product Quality
Dear Joe Frontera,5,coffee,"So quiet , no wifi, just enjoying your coffee or juice is perfect",Facilities and Amenities
Blugré Coffee,4,coffee,"hot_beverage  sparkles  What I like about cafés in MTS is that even with the lively surroundings, there are still spots where you can simply sit, breathe, and enjoy the atmosphere.",Ambiance and Atmosphere
DUNKIN’ DRIVE THRU BAMBU ESTATE,1,coffee,Worst customer service!!,Customer Service
Hid'n Coffee,5,coffee,"The vibe is relaxed, and when we went around 9 AM, the temperature was cool and comfortable.",Ambiance and Atmosphere
JH Garden Cafe and Restaurant Matina,1,coffee,The food wasnt bad but it wasnt good as well.,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,"The place is great, the food was awesome and bery good for students .",Product Quality
Midnights Cafe,5,coffee,Closing Time: 2am Open Everyday A newly-opened coffee shop themed with the recent album of Taylor Swift.,Product Quality
Pedal Cafe Davao,5,coffee,We tried Spanish Latte & Miss Saigon and they're so worth it!,Product Quality
Kopi lah Roti,4,coffee,"Very good service, kind peps and food is delish!!!",Product Quality
Barok Cafe and Resto,3,coffee,But it's too noisy for me.,Ambiance and Atmosphere
roast. coffee,5,coffee,"The place, atmosphere, and service..",Ambiance and Atmosphere
Fiend Coffee Club,3,coffee,"The food is okay, the problem is the service is too slow and the staff is not approachable  face_holding_back_tears",Product Quality
Sipscape Cafe,5,coffee,"Food is great, Drinks are great as well.",Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"I'm particularly drawn to the interior—its mid-century aesthetic is thoughtfully executed and well-maintained, creating a space that feels both stylish and inviting.",Facilities and Amenities
Green Bread - Matina,5,coffee,epic food..big portions..hope it'll stay consistent..and friendly staff.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,Loved that they open as early as 6AM and closes as late as 12MN.,Store Operations and Accessibility
Fiend Coffee Club,4,coffee,"I honestly feel they should take out the ""slow bar"" thing on their counter as their café is more consistent with the ""coffee club"" branding where groups of people connect and hang out.",Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,"They have accommodating staff, the food is cheap and good.",Customer Service
The Coffee Bar at GMall of Davao,4,coffee,Thank you to the staff.,Customer Service
Evermore Cafe Davao,5,coffee,"Best ambiance, staff, and food!",Ambiance and Atmosphere
Seattle's Best Coffee,1,coffee,They served me regular coffee and it really hit my system hard causing me bad anxiety since I don't drink regular coffee.,Product Quality
Hygge Coffee,2,coffee,The staff did not even take an initiative to temporarily make that seat unavailable for the customer's comfort.,Customer Service
Starbucks - SM City Davao,4,coffee,It's always good to take a break here with a variety of drinks.,Product Quality
Cafe Demitasse,4,coffee,But most importantly the food choices are varied and delicious.,Product Quality
BRGR Alley Café,5,coffee,"The staff is so friendly, warm and courteous, and the food is also really good!",Product Quality
Floury Cafe,4,matcha,Delicious food and a great atmosphere!,Product Quality
Mori & Mill,1,coffee,"When we were finally about to sit, one of the staff (the guy assigned to desserts on duty July 1 around 7-10pm) STOPPED US AND SAID IT WAS RESERVED FOR SOMEONE ELSE, HUH?!",Customer Service
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"The food was served in a timely manner, and the atmosphere was pleasant, making it a nice spot to relax.",Ambiance and Atmosphere
Daleachious Cafe - Buhangin Branch,4,coffee,Comfort room outside the shop,Facilities and Amenities
Kove,5,coffee,"Good coffee, service, music and really nice aesthetic.",Ambiance and Atmosphere
BRGR Alley Café,5,coffee,Very accommodating.,Customer Service
ZeusX Esports and Cafe,1,coffee,OVERPRICED COFFEE!,Price and Value
T'Brews Cafe,5,coffee,"They have outlets too, so it's a good place if you need to work or charge your devices.",Facilities and Amenities
Better Beans Co. - Coffee Roaster (New Location),5,coffee,The Coffee itself in my opinion is inside top 3 in davao.,Product Quality
Midnights Cafe,4,coffee,"Crowded most of the time, place is aesthetically pleasing, food and beverages are on the pricey side.",Ambiance and Atmosphere
The Yolk Society,5,coffee,Cozy & Aesthetic Loved the cozy minimalist vibe at The Yolk Society.,Ambiance and Atmosphere
Floury Cafe,5,matcha,Good food for the price.,Price and Value
Palps Cafe,5,coffee,Must Try Palps Spanish Latte.,Product Quality
Coffee Project Mintal,5,coffee,"I am from Croatia, I have travel a lot across Asia and Europe and i am also big coffee lover.",Product Quality
Brew and Cinnamon Cafe,4,coffee,Ended up not finishing it cause it tasted like rice that you leave on the counter for a few hours.,Store Operations and Accessibility
Cafe Demitasse,5,coffee,Nice ambiance and food!,Product Quality
Coffee Project Mintal,1,coffee,"If you're looking for good value, find another coffee shop.",Product Quality
Starbucks,5,coffee,This quiet part of the city is also a strategic location.,Ambiance and Atmosphere
Knto Cinco - Lapu Lapu,5,matcha,very nice for work or chill coffee nights.,Facilities and Amenities
Kapenato,5,coffee,Great coffee and friendly staff!,Customer Service
JAS Caffeinated,4,coffee,I don't know why this place is listed as a coffee shop.,Product Quality
Dakong Balay,1,coffee,I get it na it's weekend and they're full pero that's not an excuse para di nila maasikaso ng maayos.,Customer Service
Dear Joe Frontera,5,coffee,Coffee is really good.,Product Quality
Matcha Ureshi Bar,5,matcha,The staff are friendly and welcoming.,Customer Service
Starbucks - GMall of Davao,5,coffee,"Good ambiance, good food..clean.. hand_with_index_finger_and_thumb_crossed  hand_with_index_finger_and_thumb_crossed",Ambiance and Atmosphere
Whisk Davao Matcha,4,matcha,I like the taste of their signature cacao!,Product Quality
Coffee Project Mintal,4,coffee,"Regarding the pricing, some say it's more expensive than Starbucks, but based on our order, we definitely got our money's worth, and then some.",Price and Value
Coffee Project Mintal,5,coffee,"Not the best coffee we've tried but, the atmosphere is so good and relaxing!",Product Quality
TALA Cafe,5,coffee,Asked the matcharista if they can do usucha but they'll do it then refer to the current matcha price.,Product Quality
Hygge Coffee,1,coffee,They need to improve service!,Customer Service
Spilled Coffee,5,matcha,Every drink and food on their menu is made with love.,Product Quality
Annipie,4,coffee,Place very accessible and staff friendly and helpfull.,Store Operations and Accessibility
Green Coffee - Diversion,1,coffee,Train your staff properly invest in customer service you have the worst customer service in all coffee shop in davao city.,Customer Service
Wood and Coffee Davao,4,coffee,"The food was just okay, but I hope they improve on the small details.",Product Quality
DUNKIN’,5,coffee,They're open for dine-in as of today.,Store Operations and Accessibility
Clutch Cafe,5,coffee,This place is so chill.,Ambiance and Atmosphere
Kafih - Davao,5,coffee,"Place is cozy, people are very accomodating, food is good and affordable  red_heart",Product Quality
Starbucks - SM City Davao,5,coffee,Staff is accommodating and their seaso drinks are great.,Product Quality
Knto Cinco - Lapu Lapu,5,matcha,"The service was excellent, with friendly and …",Customer Service
PICKUP COFFEE - Robinsons Cybergate Delta,3,coffee,"The tables were not cleaned, the staff were doing mediocre stuff.l, clumsy and unhygienic.",Facilities and Amenities
Juice Cubi Roxas Avenue,3,coffee,"The prices for their menu items are reasonable, but I think they are a bit expensive for students like me.",Price and Value
Coffeepaste Davao,4,coffee,"However, if you need a big space for studying, their space is quite small.",Facilities and Amenities
Café de Vivré,4,coffee,The staff were well trained.,Customer Service
KISOM Atelier,5,matcha,"cozy and chill place, serving superb matcha!",Ambiance and Atmosphere
Baristro DVO,3,matcha,"I appreciate that the barista let me know that their matcha is bitter when I ordered their latte but that also means they already know they need to improve, here's to hoping they're already working on it.",Product Quality
Solace - Coffee Club,4,coffee,"Lami inyo drinks and food, but the location is tooooo noisy gyud.",Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,3,coffee,"The ambiance is great, and the service is amazing and attentive.",Customer Service
Coffeecat,4,coffee,"I just hope there are more outlets to charge, a coaster for the drinks and a stronger wifi connection.",Product Quality
Juice Cubi Roxas Avenue,5,coffee,"Nice,fast service and relaxing environment",Customer Service
Cafe Demitasse,5,coffee,"It's proximate enough to be reached by public transport, but not right smack in the middle of busy and noisy downtown streets.",Ambiance and Atmosphere
Matcha Bar - Marfori,5,matcha,The place was very quiet too.,Ambiance and Atmosphere
Dear Joe Frontera,5,coffee,Great ambiance!,Ambiance and Atmosphere
AtCurbside,5,coffee,It's a micro cafe but there's nothing tiny about this place when it comes to coffee and their service!,Product Quality
Space-Arabica,5,coffee,Has free wifi but during my stay there it was slow.,Facilities and Amenities
Craft Coffee,5,coffee,red_heart  hot_beverage  red_heart  hot_beverage  red_heart  hot_beverage  They also have thirst-quenchi soda popper drinks!,Product Quality
Glasshouse Coffee,5,coffee,The best thing I remember about this coffee shop is their playlist.,Product Quality
Espresso Lab Cafe Davao,4,coffee,"The vibe of the coffee shop is warm and dim, perfect for intimate get togethers.",Product Quality
Seattle's Best Coffee,1,coffee,"Waited two hours (ordered at 8:54pm, got my drinks at 10:37!!!)",Store Operations and Accessibility
Starbucks - SM City Davao,5,coffee,Friendly and very welcoming baristas.,Customer Service
Inherent Coffee,5,coffee,"Whether you're catching up with friends, reading a book, or getting some work done, the atmosphere is perfect.",Facilities and Amenities
Starbucks - GMall of Davao,4,coffee,"It's a compact space, sure, but it doesn't feel cramped.",Facilities and Amenities
Matcha Ureshi Bar,5,matcha,Price is good.,Price and Value
The Bloom Coffee & Start-Up Space,5,coffee,The variety of fair-priced and reasonably-sized beverages and food items were a big plus and the late closing hour was definitely conducive to students doing their schoolwork.,Product Quality
Matchalaine,5,matcha,"Love their matcha, they said they use 5g!!",Product Quality
Cafe Julieta,4,coffee,"The early AM staff are very nice, respectful and pro-active.",Customer Service
BRGR Alley Café,5,coffee,"Good food, fast service, accommodating staffs!!!",Product Quality
Seattle's Best Coffee,2,coffee,"We only had 2 drinks and a cake, does it take 30mins to prepare those?",Product Quality
Outlook,5,coffee,"Just keep an eye on them as the place is directly accessible from the highway, which is full of cars passing by.",Store Operations and Accessibility
Glasshouse Coffee,5,coffee,The ambiance was really great even though the place was small.,Ambiance and Atmosphere
Lot 38 Kape,5,coffee,"The baristas are friendly too, and you could pay through GCash or Paymaya.",Customer Service
Habitat Coffee - Tulip Branch,5,coffee,Another branch with not much parking space.,Facilities and Amenities
The Forum Cafe,5,coffee,I absolutely adore this coffee shop!,Product Quality
Barok Cafe & Resto,1,coffee,"When I approached the reception to clarify, I was told I'd need to purchase another drink to get a new WiFi code.",Facilities and Amenities
Space-Arabica,4,coffee,"The ambiance wasn't our vibe, but it's great for those looking for a quiet place to work.",Facilities and Amenities
STASH Coffee Co.,4,coffee,Dine in experience: The food is delicious.,Product Quality
Hid'n Coffee,5,coffee,Great service from the baristas!,Customer Service
JH Garden Cafe and Restaurant Matina,5,coffee,"Place is unussual as it is settled beside a lake, the vibe is there, service is there, and the food is great!",Customer Service
Habitat Coffee - Tulip Branch,5,coffee,Superb food and coffee!,Product Quality
The Coffee Spot & Lounge,5,coffee,"Cozy café in Davao with good coffee, comfy seating, and a relaxing vibe—great for studying or hanging out with friends.",Ambiance and Atmosphere
Annipie,4,coffee,Good food,Product Quality
The Crazy Bite Co. Sky Cafe,4,coffee,"However, the food is nothing special and not worth its price.",Price and Value
Daleachious Cafe - Buhangin Branch,1,coffee,"The coffee isn't delicious, and their customer service is terrible.",Customer Service
Kafih - Davao,5,coffee,Accommodating staff and place has a nice vibe.,Ambiance and Atmosphere
Knto Cinco - Lapu Lapu,5,matcha,very nice for work or chill coffee nights.,Product Quality
blank space coffee dvo,4,coffee,"The clean narrow nook, nice staff, short menu were modest in prices and notable for yet another round.",Customer Service
Café Prelaya by The Joaquins’ Cheesecakes,4,coffee,Coffee was good for it's price point.,Price and Value
Starbucks - Matina IT Park,3,coffee,only one restroom in the building!,Facilities and Amenities
Fiend Coffee Club,4,coffee,Why can't you just call the Matcha Americano an usucha?,Product Quality
Kafih - Davao,5,coffee,"It's really a fantastic place to enjoy great food, a comfortable atmosphere, and excellent service—I'll definitely be returning!",Ambiance and Atmosphere
Barok Cafe and Resto,5,coffee,Our first time to this location of Barok Cafe and Resto was good as we expected.,Store Operations and Accessibility
BRGR Alley Café,5,coffee,"The food is super sulit, big serving and yummy!",Product Quality
Lara Mia Café & Bistro,5,coffee,Food and service was very good.,Customer Service
The Coffee Bar at GMall of Davao,3,coffee,Food is okay and affordable.,Product Quality
Starbucks - SM City Davao,5,coffee,"When we need to unwind or just chill, we usually frequent this SB Branch.",Ambiance and Atmosphere
Happy Valley Cafe Davao,5,coffee,"For a fairly new café, their food is really good so I'm looking forward on how they will be in the future.",Product Quality
Gulf Coast Coffee and Co.,1,coffee,"We went far to find another place to buy coffee, the product would have been nice but the customer service is not good!",Customer Service
Matcha Ureshi Bar,5,matcha,Friendly staff and delicious matcha.,Product Quality
Kapeweñoz Dacudao,2,coffee,Mostly you taste the condensed milk with very little espresso.,Product Quality
Cafe Tavera,3,coffee,"Staff- there were many, sadly, not very attentive Ambiance- Pinoy vibe, good for families/groups Food choices- Filipino, they have paluto option based on available catch Service- no receipt issued, only credit card copy",Customer Service
Green Coffee - Diversion,1,coffee,My wife and I usually grab a cup of coffee before we start our say and it so happened we passed through Green Coffee thrice yesterday and today my wife requested us to give it a try.,Product Quality
blank space coffee dvo,5,coffee,"The CR was clean, but no WiFi.",Facilities and Amenities
Starbucks SM Davao Expansion Wing,5,coffee,"A coffee, drink 8hrs",Product Quality
Steep Kohi,3,coffee,Came in near closing time with friends and family after a recommendation but was greeted by the pompous attitude of the owner/barista as if he was irritated that we wanted to purchase his drinks.,Product Quality
BRGR Alley Café,5,coffee,Excellent food and service.,Product Quality
Knto Cinco - Puan Branch,4,coffee,And again in the afternoon it gets noisy with customers inconsiderately in loud speaker mode.,Ambiance and Atmosphere
blank space coffee dvo,5,coffee,It's the kind of place where people keep coming back for good coffee and even better company.,Product Quality
Coffeecat,5,coffee,Has decent parking space too.,Store Operations and Accessibility
Purge Coffee Roaster,5,coffee,The Mule brings out the darker notes of the coffee.,Product Quality
Wood and Coffee Davao,3,coffee,"Visit to take photos but the food is ok, nothing to write home about.",Product Quality
Green Coffee - Ecoland,1,coffee,And also very disruptive due to the loud cleaning noises from the staff.,Customer Service
The Secret Garden Cafe,5,coffee,"Still, the food and vibes make it all worth it.",Product Quality
Yukiss Cafe and KTV,5,coffee,Their food was good.,Product Quality
Matcha Bar - Marfori,5,matcha,Fair enough to remind to order another after their imposed time since they only have two tables (with a generous electric outlet).,Facilities and Amenities
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,Very cozy vibe.,Ambiance and Atmosphere
Kopi lah Roti,4,coffee,This got good coffee and tea,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Yummy foods with friendly stuffs,Customer Service
Kopi lah Roti,5,coffee,"I frequent this place for the coffee buns, french toast with kaya, kopi and teh.",Product Quality
Seattle's Best Coffee,5,coffee,"The coffee (cappuccino) was so-so, but it's worth it's price.",Product Quality
PICKUP COFFEE - Gaisano Mall of Davao,1,coffee,"Ordered it online, the barista is not doing anything because the pick up is still at 11:39???",Customer Service
Starbucks SM Davao Expansion Wing,5,coffee,I love how they assisted their customers and the coffee was good.,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Staffs are accommodating and the place is perfect for online work and studying.,Facilities and Amenities
Lara Mia Café & Bistro,5,coffee,"Lara Mia is very nice, the food is simple, affordable and the place is very nice.",Product Quality
Hygge Coffee,2,coffee,"The place is okay, I'm just a little turned off by their chicken teriyaki, the serving is small, I hope they improve on their food.",Product Quality
Indahouse Cafe,5,coffee,"Super chill atmosphere.""",Ambiance and Atmosphere
Brew Lane Café,4,coffee,Would love to hear some better music selection next time or keep the volume at a more comfortable level.,Ambiance and Atmosphere
Verdeli Garden & Cafe,5,coffee,The food is really good especially their pizza.,Product Quality
Coffee at Yellow Hauz,5,coffee,"Internet is fast, food and desserts are good.",Product Quality
T'Brews Cafe,5,coffee,A perfect place for catching up with close friends.,Store Operations and Accessibility
Paramount Coffee Crocodile Park Davao,5,coffee,"We visited Paramount Coffee while traveling to Davao, and their drinks were amazing!",Product Quality
Pastry Street Pie & Café,5,coffee,"Indeed, a perfect place to chill and relax with your friends  sunflower  The food was super yummy and very affordable (please see photo of their menu).",Price and Value
Solace - Coffee Club,5,coffee,"Having worked in the food industry myself, I completely understand that sometimes certain items on the menu might be unavailable, but that doesn't take away from how great their food is!",Product Quality
Starbucks - Matina IT Park,5,coffee,Tight space but good.,Facilities and Amenities
"PICKUP COFFEE - Plaza de Bole, Torres St.",3,coffee,Affordable coffee.,Price and Value
Starbucks - SM Lanang,4,coffee,"Starbucks at SM Lanang offers a serene atmosphere, perfect for relaxation or productivity.",Ambiance and Atmosphere
Coffeecat,3,coffee,"Coffee is great, probably the best in Davao, hence the 3 stars.",Product Quality
BRGR Alley Café,5,coffee,The cat is very accommodating  cat,Customer Service
Kafih - Davao,5,coffee,"Nice ambiance, clean and for insta pic.",Ambiance and Atmosphere
Better Beans Co. - Coffee Roaster (New Location),4,coffee,"For such a small space — quite a number of coffee and non-coffee beverages, rice meals, snack items and pastries.",Product Quality
Glasshouse Coffee,5,coffee,Music from spectacular Japanese artists just complemented the mood of rain falling onto glass walls.,Ambiance and Atmosphere
Coffee at Yellow Hauz,4,coffee,Good accommodation and fast internet,Facilities and Amenities
Fiend Coffee Club,4,coffee,"From what I looked over from the counter, I saw that the matcharista was refilling the Matcha canister and the packet had a recognizable supplier.",Product Quality
Espresso Lab Cafe Davao,5,coffee,Many choices for coffee and non coffee,Product Quality
Matcha Bar - Marfori,5,matcha,"Plus, the staff clearly knows their matcha, which makes the whole experience even better.",Customer Service
Fourth Street Cafe,4,coffee,The area is pretty chill.,Ambiance and Atmosphere
MYLK Cafe,5,matcha,We'll definitely keep coming back for the matcha.,Product Quality
Barok Cafe and Resto,2,coffee,"I recently tried your Blueberry Cheesecake, but I was disappointed with the taste.",Product Quality
Starbucks - SM City Davao,1,coffee,bad costumer service.,Customer Service
Steep Kohi,5,coffee,the best matcha in davao!!,Product Quality
Seattle's Best Coffee,1,coffee,"Poor facility, 1 restroom in the ground for a big coffee shop.",Facilities and Amenities
Habitat Coffee - Tionko Branch,5,coffee,"Cozy vibe, good food & coffee!!",Product Quality
Matwels Coffee Station,1,coffee,"You just lost a regular customer, 3rd time it happened that the food was delivered 1hr+, no advice, no chat, I'm aware that the delivery will be late.",Product Quality
Espresso Lab Cafe Davao,5,coffee,"coffee was good, really nice atmosphere for doing work/school-related tasks, the staff were very responsive and friendly, and lots of sockets (just ask for the round light-up thingy at the counter : ) ++ the cr was super clean",Customer Service
Cinnabon SM Lanang Davao,5,coffee,"Located right on the main square of SM Mall, this spot offers a range of delicious drinks, from coffee to refreshing shakes, and handcrafted treats.",Product Quality
Dash Coffee - Sandawa,1,coffee,and they don't have any cr yet.,Facilities and Amenities
PICKUP COFFEE - Gaisano Mall of Davao,3,coffee,good for a quick caffeine fix in a budget.,Price and Value
ROOFTOP Café Bar,5,coffee,Affordable and good food!!,Product Quality
Mine Cafe - Tibungco,5,coffee,"Overall, it's still a nice café to visit, especially for a quick coffee break, but there's a bit of room for improvement in comfort and ambiance.",Product Quality
T'Brews Cafe,5,coffee,the barista is soo niceeee red_heart  red_heart  red_heart  their food is super delicious and their drinks are so worth it,Customer Service
Slate Coffee + Deli,5,coffee,The matcha latte was delicious.,Product Quality
Kafih - Davao,5,coffee,Ordered foods are all good; internet is fast too.,Facilities and Amenities
Dakong Balay,5,coffee,But do take into consideration that it can get quite crowded and busy on weekends or peak hours making the food waiting time longer.,Store Operations and Accessibility
Craft Coffee & Roastery,5,coffee,There's free wifi and the place is spacious and chill to hang out in.,Ambiance and Atmosphere
Barok Cafe & Resto,5,coffee,"About their staff, they are so kind and polite, very approachable, especially when you enter the restaurant.",Customer Service
Coffee By The Way,2,coffee,"Then they don't serve it to your table, help yourselves, the staff is small.. but just be careful because the food will spill because the floor is grassy and not plain… That's it, I'll still go back if there's someone to eat or just have a snack.",Customer Service
Koffiepauze,5,matcha,Their lasagna is mouth watering..Serving size is also proportionate with the price.,Price and Value
Cafe Demitasse,3,coffee,service and food are good.,Customer Service
Beholden Coffee Experience - CM Recto,5,coffee,"Great atmosphere, coffee, and lots of parking nearby.",Product Quality
Yukiss Cafe and KTV,5,coffee,"Food is delicious, many to choose from!",Product Quality
The Matcha Tokyo - SM Davao,5,matcha,Sayang lang we didn't get to try the matcha drinks because they weren't available at that time.,Price and Value
BRGR Alley Café,5,coffee,Service was great and good came out promptly.,Customer Service
Annipie @ The Farm,5,coffee,Food is as always good especially when shared with loved ones and friends.,Product Quality
BRGR Alley Café,4,coffee,Atmosphere?,Ambiance and Atmosphere
The Matcha Tokyo - Azuela High Street,5,matcha,A great spot for matcha lovers!,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The food was not so good.,Product Quality
"KAOS CAFE - 24 Hours, Jacinto St.",4,coffee,"The atmosphere was great, it added to my overall enjoyment of hanging out with a friend.",Ambiance and Atmosphere
Krispy Kreme Doughnuts® - SM Lanang,2,coffee,you'd get better service at a busy jollibee.,Customer Service
DUNKIN’ DRIVE THRU BAMBU ESTATE,5,coffee,Everyone was friendly and knowledgeable!,Customer Service
Coffeecat,5,coffee,The place has plenty of working tables but their wifi is not that fast.,Facilities and Amenities
BRGR Alley Café,5,coffee,"Overall, we had a really pleasant afternoon here, and it's definitely a place I'd recommend if you're looking for good coffee and a relaxing atmosphere.",Product Quality
Barok Cafe and Resto,4,coffee,Drinks were great.,Product Quality
Annipie,5,coffee,Good service clean and yummy cakes and meals good prices,Customer Service
Matcha Bar - Marfori,5,matcha,"It's the perfect spot for a quiet coffee break, catching up with friends, or just enjoying some alone time.",Product Quality
Matcha Bar - Marfori,5,matcha,Matcha Bar offers a vibrant and welcoming ambiance that creates a truly enjoyable café experience.,Ambiance and Atmosphere
Starbucks - Matina IT Park,4,coffee,Nice place but hard to find a parking space.,Facilities and Amenities
Steep Kohi,5,coffee,"I am also looking forward to more visits considering the stamp card they gave me that gives rewards such as free drinks, etc.",Product Quality
Coffee Hub,5,coffee,"With cozy indoor and outdoor spaces, free wifi, a wide variety of options for drinks, and my favorite: super yummy green tea latte  red_heart  they offer some snacks and deserts too!",Product Quality
Orion Coffee,5,coffee,"Good food, greater coffee, cozy and chill ambiance at a reasonable price.",Ambiance and Atmosphere
Coffeecat,5,coffee,Staff was accommodating,Customer Service
Seattle's Best Coffee,4,coffee,"Staff are nice, clean and aesthethic interior, so as their cr.",Customer Service
Whisk Davao Matcha,5,matcha,"The matcha is always good, the ambiance is calm, and the staff are consistently warm and accommodating.",Customer Service
The Crazy Bite Co. Sky Cafe,4,coffee,The coffee's also good.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,Their internet connection is fast.,Facilities and Amenities
Fourth Street Cafe,5,coffee,They finally enclosed their area since it was open air now it has a nice wooden warm light vibe and air-conditioning.,Ambiance and Atmosphere
Cafe Sierra,5,coffee,Good food and delicious coffee,Product Quality
Brew and Cinnamon Cafe,2,coffee,"Still welcome the idea of a second visit — hopefully, better service/staff attitude and improved food taste.",Customer Service
Green Coffee - Diversion,5,coffee,I enjoy my coffee and time in this place while waiting for my XYL.,Product Quality
&Matcha - Three Yards,4,matcha,Obviously crowded for the event.,Ambiance and Atmosphere
Kafih - Davao,5,coffee,I love the cafe cause of the barista and food and coffee,Customer Service
The Matcha Tokyo - SM Davao,4,matcha,"The Matcha Tokyo SM Davao is currently on soft opening, so service, especially at the cashier, was a bit slow.",Customer Service
A Little Lately,5,coffee,"smiling_face_with_hearts  Tried: • Spanish Latte – 130 PHP, 8/10  sparkling_heart  • Tely Matcha Latte – 250 PHP, 9/10  teacup_without_handle  • Hojicha Latte – 240 PHP, 8/10  herb  Such a cute little cafe, perfect for quick stops and coffee vibes!",Product Quality
Café de Vivré,4,coffee,"The staff were also well-spoken, attentive, and genuinely pleasant, which made the visit even better.",Customer Service
Annipie Airport View,5,coffee,I don't care about your taste as long as it's delicious for me.,Product Quality
The Limestone Brew,5,coffee,"A great place to enjoy a quiet coffee, breakfast lunch or dinner.",Ambiance and Atmosphere
Kotetsu by Wood and Coffee,3,coffee,"1 star for the food 1 star for the place, and 1 star for the service The food is expensive and I think it's reasonable because it's really tasty, but I think it's a bit too overpriced considering the fact that there's still a 5% service charge.",Price and Value
Starbucks - Matina IT Park,5,coffee,"If u can't decide which coffee shop to visit, just go straight to Starbucks.",Product Quality
Cafe Basilico,1,coffee,The pizza wasnt so bad (margherita) and the carrot cake is edible.,Product Quality
LASA DAVAO,5,coffee,"We really enjoyed the food here, super worthit po talaga.",Product Quality
HYGGE COFFEE 2,5,coffee,I SWEAR SO AFFORDABLE but really high quality and super delicious.,Price and Value
KISOM Atelier,5,matcha,Service and their matcha vol 1 and 2 are good!!,Customer Service
Daleachious Cafe - Buhangin Branch,5,coffee,Price is also very reasonable and will rate their drinks 10/10!,Price and Value
Dear Joe Frontera,5,coffee,"Finally, a good coffee place in Davao, that opens at the right time, has a good ambience, good coffee machinery, and actually good coffee.",Product Quality
Starbucks,3,coffee,Sometimes they can't hear barista's voice in getting your coffee.,Product Quality
Annipie Airport View,5,coffee,Recommended to those who what's to chill before their flight because it's near at Davao Airport.,Ambiance and Atmosphere
The Secret Garden Cafe,3,coffee,The portion is a bit on the smaller side and the drinks are okay.,Product Quality
Starbucks,4,coffee,"They could add more chairs and tables for ""outside seating"" if doable.",Facilities and Amenities
Purge Coffee Roaster,5,coffee,I have not tried their food yet.,Product Quality
The Limestone Brew,5,coffee,"Also, they explained about coffee really well and it tastes so good.",Product Quality
Good One Cafe and Yogurt,4,coffee,check_mark_button  Customer parking available!,Store Operations and Accessibility
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,"The best coffee in town, love the Spanish coffee",Product Quality
Karlo's Gourmet & Coffee,5,coffee,Lots to choose from coffee to sandwiches to desserts - all enjoyed with a refreshing view of the city.,Product Quality
Coffee at Yellow Hauz,4,coffee,My go to place for remote work when in the city.,Facilities and Amenities
Mori & Mill,2,coffee,I think they may have put too much resource into that gimmick rather the quality of the food.,Product Quality
