place_name,shop_type,clean_review
Dear Joe Frontera,coffee,"Ambiance was good. It was a refreshing cool cafe idea. Nice ang environment kay they integrated a warm woody feel with industrial modern look. Naa pod plants which make the atmosphere feel like you are in a jungle or close to nature. However, makacomment ko sa price. Kay ang artisan tea makapalit nag 4 cups sa regular coffee shops. Though it was good, I cant complain sa quality. But for occasional visits, it's definitely a place to chill and hangout."
Twelve Coffee Davao - Ecoland,matcha,"Very nice coffee, cookies and atmosphere. Reasonable price. I recommend it"
The Matcha Tokyo - Azuela High Street,matcha,GOATED matcha spot  star-struck  star-struck  star-struck  …
Cafe Basilico,coffee,like it!!
The Matcha Tokyo - Azuela High Street,matcha,"Very cozy vibe. No question about their matcha drinks, all are must haves. Don't forget their panini, also a must try!"
Café Joa,coffee,"The food is undoubtedly, underwhelming. The ramyeon noodles are not hand pulled or made in house but instead came from a pack. Matcha tastes meh Cookies n cream frappe is meh White Mocha is meh Garlic Fried Chicken tastes like a normal chicken (ni garlicky flavour) and the chicken itself is not great but not bad. JFC or ang Kanto Fried Chicken could rival the taste of their pritong manok Totally not a bang for your buck. Other low star reviews are true as well! Staff tends to tambay near the cashier to chitchat Food served are wrong The place is not as cool as what a cafe should be"
MYLK Cafe,matcha,Very accommodating
Barok Cafe and Resto,coffee,WE WAITED MORE THAN AN HOUR! MADALING ARAW PA TO HA! HOW MUCH MORE IF DAYTIME.
&Matcha - Three Yards,matcha,All i can say is veryy gooodd masarap matcha worth the price  red_heart 
Cafe Gervacios - Pastry and Coffee in Davao City,coffee,"Good service! Ill be back, haven't tried there pastries yet.  kissing_face_with_closed_eyes  but so far laaaami sya."
WORK CO COWORKING MATINA BRANCH,coffee,"good space, affortable price and ambience. special thanks to divine for being accomodating"
Annipie Airport View,coffee,Niceee!
Binnamon Cafe,matcha,Best Matcha in town  hundred_points  hundred_points  hundred_points  hundred_points  …
STASH Coffee Co.,coffee,The interior was warm staff where friendly and willing to help guess its location is also a plus giving a little privacy
Cafe Basilico,coffee,"Cafe Basilico is one of my top favorite restaurants in the city.. and finally, a noteworthy restaurant for people living on the south side.  face_holding_back_tears  heart_hands_light_skin_tone  Their menu offers interesting dishes at reasonable prices. They cater to special requests e.g. changing rice to salad instead for non-rice eaters. In addition, they accept orders in advance. We've done it twice now; we place and schedule our orders then leave our payment while we attend to other matters nearby. My personal favorites from their menu are bruschetta and chicken parmigiana. I've also tried their salad, pastas, pizzas and of course, their desserts. The serving size is just right, sometimes more than enough. Some can even be shared by 2 persons (except for the desserts, no way!  zany_face ) It's a shame that I couldn't find the most fitting words, but their food is great and exceptional. Mao ra gyud akong maingon. Furthermore, they have good customer service. The staffs are polite and they show professional attitude at all times. I commend how they converse with customers, prepare the table before leading the customers to their seats, serve the food and take out empty plates, and how poised they are when they refill empty glasses with water. We're receiving the deserved treatment out of the 3% service charge.  thumbs_up_light_skin_tone  The restaurant is well-lit and -maintained. It has classy and modern interiors. Special mention to their clean comfort room. Good for the mental health.  relieved_face  raising_hands_light_skin_tone  The air conditioning is checked from time to time by the staffs. How cool and nice. Hehe. They have parking spaces too. For all the times I've dined in Cafe Basilico, I can say that they stayed consistent with the quality of food and service they are giving. Keep it up!"
Dakong Balay,coffee,"I love this place to Dine-in, eventhough it's quiet a distance from the downtown area... Their Food are delicious.. It's a beautiful old Residential house converted to a Restaurant.. That's why they named it ""DAKONG BALAY"" means a ""BIG HOUSE""...."
Kopi lah Roti,coffee,"Always love the place and the food. Our fave is the kopi with milk, kaya toast and nutella sandwich"
Cafe Demitasse,coffee,Good food and service.
Green Coffee - Marfori,coffee,Never disappoints!
Whisk It Good Matcha,matcha,My favorite Matcha Place  heart_suit 
Matcha Ureshi Bar,matcha,I had their Banana Pudding Matcha.
Lara Mia Café & Bistro,coffee,Super yummy Purple Yam Fudge. Pizzas are good value for money! Eggplant Parmigiana was also good. Worth it!
The Secret Garden Cafe,coffee,"Finding a good quality sandwich shop in Davao that offers a wide range without sacrificing flavour is rare. As a visitor, I get the hype I hear from my sisters, particularly with how herby the sandwich was! Alam mong di ka nila tinitipid!!!"
Purge Coffee Roaster,coffee,"Love their coffee here. This is one of my top choices when it comes to Davao coffee. If you're finding a chill place that serves good coffee, this is the perfect place for you. Parking space is limited, medyo mahihirapan ka mkapark near the shop pag peak hours"
Starbucks - GMall of Davao,coffee,"LED, REJ- They are so great I accidentally dropped my drink and they replace it, free of charge. They also have a great security personnel who mop the floor. This is not my first time here and certainly not the last. What an awesome experience. Thanks Starbucks for having an amazing staff's."
Don Macchiatos Coffee,matcha,"This is not a cafe, it's a coffee stand where several types of coffee are served while standing."
MYLK Cafe,matcha,Good matcha and coffee! One of the best in town :)
olo. Coffee And Concepts,coffee,Really good coffee. Friendly baristas. Go to coffee shop in Davao. Hopefully there would be more seats hehe
Cafe Basilico,coffee,"March 2025 — Café Basilico continues to be our reliable ""go-to"" in the south. They have been consistently serving us high-quality Italian-inspired dishes with generous portions and fair pricing. While there is a 6% service fee, it feels completely warranted here since the servers are attentive and proactive without being overbearing, ensuring our drinks are always full and the dining flow is seamless. We've visited twice recently, and the quality hasn't wavered. Here's a breakdown of what we've tried: First visit: Bacon Steak – ₱380 Chicken Cotoletta – ₱390 Chicken Parmigiana – ₱270 Aglio Olio – ₱270 Tiramisu Cake – ₱260 VAT + Service Charge 6% – ₱88.39 Total – ₱1,738.39 Second visit: Aglio Olio – ₱270 Chicken Cotoletta – ₱390 Beef Bourguignon – ₱390 Bolognese – ₱370 Pistachio Tiramisu – ₱360 VAT + Service Charge 6% – ₱95.36 Total – ₱1,875.36 The Chicken Cotoletta (₱390) is ""goated"", perfectly breaded and massive. The Bacon Steak (₱380) is another favorite for its thick, smoky cut, while the Beef Bourguignon (₱390) offers a deep, slow-cooked richness that's hard to find elsewhere in Toril. The Aglio Olio (₱270) is simple but executed perfectly with the right amount of garlic and oil. If you prefer something heartier, the Bolognese (₱370) is a solid, classic choice. For the portion sizes, these meals are easily shareable, making the value-for-money quite high. The café is highly accessible, located right along Manambulan-Tagakpan Road (the Davao-Cotabato Old Road) in Crossing Bayabas. The shared parking area fits about 12 cars max, which can get ""complex"" during peak weekend hours. The cozy, well-lit interior fits approximately 40 pax. The toilet is notably clean, nicely decorated, and fully PWD-accessible, which reflects their overall attention to customer comfort. Whether you're a local or just passing through the Coastal Road, this remains the best spot in Toril for a proper Italian-style meal. It's so popular now that they've even opened a Trattoria branch at SK Complex in Bajada for those who don't want to make the drive south."
Koffiepauze,matcha,Lamiii
Matcha Ureshi Bar,matcha,Is good
Balay Coffee Rizal,coffee,"I really love the nipa hut-inspired vibe of this café. It feels like a traditional Filipino home, making the place cozy, relaxing, and welcoming. One thing I enjoyed the most is that they have board and card games available, which makes the experience more enjoyable and encourages customers to stay longer while having fun with friends and family. The atmosphere gives the same warmth and comfort that Balay Rizal aims to provide. While their food selection is a bit limited, the quality and taste are excellent. I would suggest adding spice level options for their Gochujang Pasta so customers can choose according to their preference. The staff are polite, friendly, and very accommodating. The owner is also approachable and makes guests feel welcome. Overall, it's a great place to unwind, enjoy good food, and spend quality time with others. Definitely worth visiting!"
Matcha Ureshi Bar,matcha,"Grabe ka chill sa place! Matcha? 100% the best! Service? Grabe ka swabe. If you are planning to try matcha, go here!"
MOMOYO GMALL BAJADA,matcha,Always our place to go when magcrave something cold and refreshing. Super sulit ang products at very nice ang place. Must try and my fave ang matcha bobba. Thanks Momoyo.
Out of Boredom,matcha,"I am from Cebu and have been drinking a lot of Matcha from different cafés. I must say Out of Boredom's Matcha exceeded my expectations. The matcha has a smooth, consistent texture with a well-balanced umami flavor and a rich, authentic …"
Coffee By The Way,coffee,"I'd rate this café 1/5. Honestly super disappointing. The food is not it — the chicken was so dry and the serving size was ang liit, especially for the price. Not worth it at all. I ordered matcha too but… is that even matcha??  loudly_crying_face  It literally tasted like coffee. If you're craving actual matcha, this ain't the place. Service and food options really need improvement. I've been here a few times already, and my friends have too, but no changes at all. Same issues every visit. Sad because the place has potential, but right now it's honestly one of the worst café experiences we've had in Davao. Hope they step up their food quality and overall service."
Koffiepauze,matcha,I really love the ambiance. Good for students and yung may mga appointments or meetings. …
Koffiepauze,matcha,"Nice place, nice food."
Knto Cinco - Puan Branch,coffee,"Hidden gem sa Puan! Knto Cinco has premium coffee and chill vibes, layo sa city hassle. Perfect place to slow down, mag work, or catch up with friends. Worth the drive jud. One of the best cafes in Davao South."
Coffee at Yellow Hauz,coffee,"Spanish latte was good but the tiramisu needs improvement. Ambience was great, with warm-color lighting and indoor plants, and dance music in the background. Lots of tables and chairs. Plenty of parking that time. The place was cold initially, but, they would turn off the AC every now and then. Service was okay, however, I noticed that the staff were talking and laughing too loud plus the dance music, so it can get noisy at some point. All in all, it's an okay place to dine."
The Matcha Tokyo - SM Davao,matcha,Quick service and great ambience  teacup_without_handle  love the soft serve!  soft_ice_cream  …
Cafe Demitasse,coffee,More privacy. Greater comfort.
"The Coffee Bar, Gaisano Mall of Toril",coffee,Almost 1hour wating for just 1 coffee for Take out
Solace - Coffee Club,coffee,Ang ganda ng place and the best ang coffee along with perfect customer service! Truly recommend this to everyone in Davao! 10 out of 10!
Floury Cafe,matcha,"Sulit ang prices, lami ang food.. and great place to hangout with friends!"
Blugré Coffee,coffee,Sweet cakes and excellent food. Ambience is cool
Haron's Cafe,coffee,No pork restaurant. Lami ilang breakfast menu ug available till night time.
Haron's Cafe,coffee,"I can't recommend this place kase nag papabayad na sila if mag chacharge ka ng phone or laptop even if your order is reasonable. Aside from that, they are quite pricey and it's understandable because they are delicious, but is it worth paying if you just charge?"
REVEL by Confex,coffee,"ordered hojicha kay wala silay matcha but its good! also, einspanner latter sub oat for me 8/10 not the sweet and i can taste the spresso. good choice for sub oat. I LOVE THEIR BUTTER TOAST (??) WITH ICE CREAM! not bad for 100 pesos???? so big! love the place its cozy, they have wifi, and sockets. love the holiday vibe  Christmas_tree "
Whisk Davao Matcha,matcha,"Coffee and matcha are great, especially their salted caramel macchiato (they offer two salt options: asin tibuok and tultul). The crew is friendly and accommodating, especially Ms. Russel. Definitely worth the hype!  smiling_face_with_smiling_eyes  …"
Whisk Davao Matcha,matcha,Their unique matcha drinks are a must try!!
"PICKUP COFFEE - Plaza de Bole, Torres St.",coffee,"The woman at the counter with the white glasses should learn good manners, she's scheduled for Monday 5pm. I hope she doesn't get moody while serving your customers. God bless"
Whisk Davao Matcha,matcha,"the matcha is good. nice with the microfoam. but i wanted a glass cup instead of a paper cup to be eco-friendly. staff are friendly. the place is aesthetically pleasing, just the right decor and seating layout. it was not crowded during the …"
"KAOS CAFE - 24 Hours, Jacinto St.",coffee,"Ordered their matcha latte and creme brûlée cake, ilang matcha tab-ang for my liking still good, decent naman. The cake is dry. Great place to hag out."
KINN & Friends,matcha,"Great matcha experience! Customer service is superb!!! Happen to have a matcha break today around lunch, found this new cafe near school, we were able to avail their parking and the staff were very accommodating and welcoming. We ordered …"
Cafe Demitasse,coffee,We are usual regular customers
KINN & Friends,matcha,"ordered the cold brew and nokou uji matcha. 3/5 for cold brew, sarap but dili kaayo siya creamy for me and ma overpower sa sweetness and coffee, 5/5 for matcha i love how bold it is and how long nagstay ang flavor! very umami and grassy …"
Matcha Ureshi Bar,matcha,lami so muchhh  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  star-struck  star-struck  star-struck  star-struck  star-struck  star-struck  heart_hands_light_skin_tone  heart_hands_light_skin_tone  heart_hands_light_skin_tone  backhand_index_pointing_right_light_skin_tone  backhand_index_pointing_left_light_skin_tone  …
Kingdom Cafe & Bistro,coffee,"From the moment you step into Kingdom Cafe and Bistro, you'll be greeted with a warm and inviting atmosphere. The rustic decor, with its charming wooden furniture, soft lighting, and beautiful artwork, creates a comfortable and relaxing ambiance that's perfect for enjoying a cup of coffee or a meal. One of the highlights of Kingdom Cafe and Bistro is their exceptional coffee. The baristas are true artisans, meticulously crafting each cup of coffee with precision and care. Whether you're in the mood for a classic cappuccino, a velvety latte, or a rich pour-over, you can expect a delicious and perfectly brewed cup of coffee that will satisfy your taste buds and give you that much-needed caffeine boost. The menu at Kingdom Cafe and Bistro is equally impressive. They offer a range of breakfast and lunch options, as well as delectable pastries and desserts. Their food is made with fresh, high-quality ingredients, and their menu features a variety of options to cater to different dietary preferences, including vegetarian and vegan choices. One of their standout dishes is the avocado toast, which is piled high with creamy avocado, fresh veggies, and a tangy lemon dressing, making it a perfect choice for a healthy and satisfying meal. What sets Kingdom Cafe and Bistro apart is their exceptional service. The staff is friendly, attentive, and knowledgeable about their offerings. They take the time to explain the different coffee brewing methods and make recommendations based on your preferences, ensuring that you get the perfect cup of coffee to suit your taste. The service is prompt, and the staff goes above and beyond to ensure that you have a pleasant and memorable experience. In addition to their excellent coffee and food, Kingdom Cafe and Bistro also offers a cozy outdoor seating area, which is perfect for enjoying a sunny day or people-watching. They also have free Wi-Fi, making it a great spot for remote work or catching up on emails while sipping on your favorite coffee. Overall, Kingdom Cafe and Bistro is a hidden gem that provides an exceptional coffee shop experience. From their delicious coffee and scrumptious food to their cozy ambiance and outstanding service, it's a place where you can relax, unwind, and indulge in a truly delightful coffee shop experience. Whether you're a coffee aficionado, a foodie, or simply someone who appreciates a charming atmosphere, Kingdom Cafe and Bistro is a must-visit destination."
Knto Cinco - Lapu Lapu,matcha,best matcha in dvo!!!  smiling_face_with_heart-eyes  the place is also giving  pinched_fingers_light_skin_tone 
The Bloom Coffee & Start-Up Space,coffee,"As the name suggests, many people work hard with just one PC. The Wi-Fi and environment are excellent."
Green Coffee - Diversion,coffee,"Coffee and cake is good, but I don't see good customer service. They don't help in bringing the orders to the table even for Elderlies and PWD, even when asked."
The Yolk Society,coffee,Good eggs and breakfast food nearby and hojicha
Dakong Balay,coffee,Loved the homey vibe and food is amazing!!!
Kohi Mame,matcha,Cutsey :)
Kafih - Davao,coffee,"The place was great, very clean and aesthetic. The food was good, sayang lang di avail yung bulgogi, will be back for this. Service was great and staff were very accommodating. Will be back for sure..  beaming_face_with_smiling_eyes "
Whisk Davao Matcha,matcha,"One of the must try matcha cafes in Davao. Food, service, and ambience are all good. My cousin and I had a nice time catching up here. …"
Koffiepauze,matcha,"Nice place to visit, accommodating and a very good place to study while eating."
Coffee Project Mintal,coffee,"Nice ambience. Coffee is decent, but I've had better coffee from other shops with the same price and cafe ambience. Food is not that good. No variety of good music. Tagal na nitong cafe dito but could barely feel the improvements. Could do better next time."
The Matcha Tokyo - Azuela High Street,matcha,The food and matcha are yummy
Daleachious Cafe - Ecoland Branch,coffee,"Love this place. Very spacious ang design. Contrary to large meal serving it's very light to eat. I love the flavors, tama² lng. And they have a lot of regulars so you'll know how people love this place. I've been here a few times and this is what I have observed. :)"
Seattle's Best Coffee,coffee,"Four months since my last visit, and while the food and atmosphere maintained their quality, the service was a significant letdown. Despite a less crowded environment, our order took an hour to arrive. A concerning incident involving a staff member's unfamiliarity with the location of the microwave raised questions about operational efficiency. The callout queuing system proved ineffective in the busy space, and management's lack of engagement was noticeable. Overall, the service remains a point of serious dissatisfaction."
Seattle's Best Coffee,coffee,"The only good thing about this place is the atmosphere. We waited 45 minutes for 3 pasta dishes and a burger and it was served COLD and sorta mid. We were given plastic utensils with our food. The service wasn't that great either, no service water, and the self-service water area had 1 pitcher and like 4 cups (not sure if they were clean or not) and it tasted like tap. Also the ""large"" drinks were kinda disappointing, they left a third of the cup empty (pic related). Imo theres just better places you can spend your money on for similar if not better prices."
The Matcha Tokyo - Azuela High Street,matcha,I love their spanish matcha latte and soft serve.
Koffiepauze,matcha,Small place with huge teddies!!!  smiling_face 
KISOM Atelier,matcha,Matcha was so good I had to go back to try the other options. The interior was also very nice!
Starbucks - Matina IT Park,coffee,"The place is still under construction, we parked inside IT park but have to walk far and went outside the premises to reach the entrance of Starbucks. Good thing staffs are friendly and accomodating."
The Matcha Tokyo - SM Davao,matcha,"The matcha ice cream was delicious—you can really taste the matcha, they definitely used premium quality. Plus points because it's pet friendly. I also really liked the macarons; they were so good and soft. It was worth the price. Sayang lang we didn't get to try the matcha drinks because they weren't available at that time."
KISOM Atelier,matcha,I live the matcha volume II
The Matcha Tokyo - SM Davao,matcha,"Loved my first visit to THE MATCHA TOKYO! Excellent matcha latte, tasty cheesecake, and a beautiful minimalist vibe. The perfect spot to relax."
AMCG Farm (Damosa Branch),matcha,yummmy ube matcha
Barok Cafe & Resto,coffee,Best food experience  winking_face  winking_face 
Starbucks Damosa IT Park Drive-Thru,coffee,Fast lane very good drinks and cakes
Barok Cafe and Resto,coffee,"The system of their co-working space is weird. You have to give a ₱100 cash deposit, and youre not allowed to pay for one hour, it has to be a minimum of 2 hours. They dont have three-pronged outlets. But their service is good and the servers are very friendly and accommodating. The system is just very money-grabbing vibes."
Out of Boredom,matcha,"ive only gone here twice but this is already my top 1 cafe for matcha  face_holding_back_tears  drinks are superb, staff are friendly, and well-maintained ug kumpleto ang cr (HAHA major plus) …"
The Matcha Tokyo - SM Davao,matcha,My go to matcha!
Whisk Davao Matcha,matcha,Very welcoming and kind ang staff esp miss Russell who knows us well na & is very lovely in preparing our orders sparkling_heart we keep coming back for more~ Matcha is superb and my fiancé's favorite is their cacao drink matched with their chocolate …
Whisk Davao Matcha,matcha,"First of all, not really into matcha but kind of exploring some flavors still. Ordered the matcha with espresso - it was so good, rich and smooth! Perfect blend of bitterness of espresso and matcha. …"
"Miss Bridgette,",matcha,"Great food and drink option. I love they have Hibiscus ice tea, which I ordered two! Along with chicken and mash potato dish and pumkin soup."
Matcha Ureshi Bar,matcha,The place is super cute & adorable.
KISOM Atelier,matcha,Matcha is soo good! Go to place during break  star-struck  Must try Matcha lvl 3 if you're a matcha lover! …
KISOM Atelier,matcha,"I ordered matcha volume i, and super yum!! As a not-so-much-matcha-fan, super sarap. Balanced ang taste ng gatas, tamis, and matcha. If you like sweet matcha, i recommend volume i. You can also control the sweetness since you're the one who …"
The Crazy Bite Co. Sky Cafe,coffee,"good food, burger patty is good except the buns."
Haron's Cafe,coffee,Coffee is so bad. Seemed like they didnt get to have a skill to make a good coffee.
Barok Cafe & Resto,coffee,"Went here last night to try their food, But we're not satisfied. Their creamy chicken was super buttery. We asked for a take out, pero binalot sa cellophane na parang pakain sa dogs relieved_face . We're willing to pay naman sana for the take out box pero wala daw silang ganon. relieved_face  But the place was good."
Blugré Coffee,coffee,"I love this place. It's a good place to unwind. They also have variety of wines. They also have acoustic band,not sure what days of the week but most probably on weekends. The service is good..they attend to your needs immediately.The place is not that spacious though but I still love it."
Whisk Davao Matcha,matcha,Whisk is a great place to have a chill hang-out with friends or family. The interior design is also unique but simple. Their matcha drinks are one the best in Davao City. I would also like to make a special mention of Ma'am Angel's hospitality and service. Definitely a place I come back to every once in a while.
Seattle's Best Coffee,coffee,"A small piece of BGC, now in Davao."
Mille Matcha - DGT,matcha,The only matcha bar we swear by!! They just opened this year but no doubt already on top. Prices are super reasonable for the quality! …
MYLK Cafe,matcha,cold brew was meh... sayang pera
Annipie - SM Lanang,coffee,"This is by far a must-try when in davao. Super sarap talaga nung classic lang. especially if you're not into super sweet cinnamon and yung butter na sakto lang, this is for you. Their coffee is so good too. We stayed in Davao for three days, and for three days also we had our caffeine fix and cinnamon here. Nag uwi pa dito sa Manila  rolling_on_the_floor_laughing  thank you annipie! Great cinnamon bread!"
Cafe Sierra,coffee,"my first time to visit this hidden gem in toril, after many attempts, and i was running out of 'third places' to go here in toril because all the others have had some things which just keep me from being able to tolerate being there. usually being to cold, too noisy, or just using crap plastic disposable shite cups rather than actual glass or ceramic. this spot is in the goldilocks zone for a coffee shop - chill cozy homey atmosphere, not too cold (well, one room is, the other is just fine), there's music but it's not obnoxiously loud. just a peaceful place to enjoy a good coffee, my coffee was very good, and a decent menu with a variety of mostly western type fare. in the relatively small space, there are a few couches, some tables, inside and out, and wifi. there are some other nice touches like a USB C charging cable and a little phone stand/holder for guests use. the coffee (cafe latte was my order) is among the best or the best in toril. this is currently the top coffee shop/cafe in toril IMO. ** Update** I just want to add that this is also the best pasta place in Toril, hands down. Penne Pesto(with tuna and olives), a la pobre, and the spaghetti negra is what I've had. Egg drop sandwich also good and nice to find a chill place to have one. **Nov 2025 update** i forgot to mention that if you want a korean style egg drop sandwich, come here. The owners are very cool people too, so feel good about supporting this great local cafe."
Twelve Coffee Davao - Ecoland,matcha,Good Drinks especially Barcelona.
The Bloom Coffee & Start-Up Space,coffee,"had a good study session. this cafe is alright. it was kinda chaotic during my visit kasi there were kids running around. the comfort room looks good and clean. i took a peek sa meeting rooms and it's one of the best i saw so far. overall, this place is on the expensive side"
The Matcha Tokyo - Azuela High Street,matcha,"When I visited The Matcha Tokyo, the place felt calm and modern. The interiors are simple, with clean lines and a cozy vibe that makes you want to stay longer. The matcha latte was rich and smooth, not overly sweet, which I really liked. Their cheesecake was soft and creamy, with just the right balance of matcha flavor. The staff were polite and served quickly. Prices are a bit higher compared to regular cafés, but the quality of the matcha makes it worth it. It's a nice spot to relax, study, or catch up with friends while enjoying authentic Japanese flavors."
The Matcha Tokyo - SM Davao,matcha,got the iced cafe latte and it was good!
Gulf Coast Coffee and Co.,coffee,Freshly Brewed Coffee for just 20 pesos! Sulit and Lami pa.  smiling_face_with_hearts 
The Matcha Tokyo - Azuela High Street,matcha,"First time in The Matcha Tokyo! For sure coming back, the matcha is really good"
A Little Lately,coffee,Saurr good ang matcha!! And very helpful din ang baristas if ur indecisive like me grinning_face_with_sweat 
Coffee Project Mintal,coffee,"As a coffee enthusiast, I was thrilled to discover Coffee Project, located in Vistamall, Davao City. The ambiance of the coffee shop is simply stunning, with its spacious and well-designed interior that feels like a lush garden. The abundance of natural light and greenery creates a peaceful and calming environment that's perfect for enjoying a cup of coffee or working on your laptop. The coffee at Coffee Project is nothing short of exceptional. The beans are expertly roasted, resulting in a perfectly balanced brew with no unpleasant acidity. You can tell that the baristas take great care in crafting each cup of coffee, ensuring that every customer is satisfied with their drink. But Coffee Project is more than just a coffee shop; it's an experience. Whether you're meeting friends, working remotely, or simply taking a break, the atmosphere of the shop elevates your coffee-drinking experience to new heights. For coffee lovers who appreciate excellent coffee and a beautiful, calming environment, Coffee Project in Vistamall, Davao City, is a must-visit. So, come and indulge in a cup of coffee that will leave you craving for more."
Seattle's Best Coffee,coffee,"THEY DON'T HAVE PRIORITY LANE FOR PWDs/SENIOR/PREGNANT!! worst cafe experience ever— it was supposed to be my first time to try here and upon entering I walked towards the counter and asked nicely if they have Priority Lane (prior to asking them i already presented my PWD ID to one of the staff at the counter) and they said 'No' which is i'm kinda confused kasi every cafes i went have the special lane and i think it's mandatory to have a special lane to every establishments (?) I HOPE NEXT TIME YOU'LL IMPROVE YOUR CUSTOMER SERVICE AND HAVE A LANE FOR PEOPLE LIKE US—AS FOR MY EXPERIENCE, IT'S REALLY OFFENDING AND DISCRIMINATING."
Whisk Davao Matcha,matcha,"Super cozy cafe, perfect for chill na hangouts. Their matcha is really good, and the staff are very warm and welcoming, especially Ms. Angel (murag tropa ra!). You'll instantly feel at home."
Koffiepauze,matcha,Great coffee and dessert.
The Matcha Tokyo - SM Davao,matcha,"Food, Service, & the atmosphere are great! Would like to come back green_heart  white_heart  Also love the aesthetic vibes …"
Starbucks - SM City Davao,coffee,"I ordered my usual Caramel Frappe Venti (To-Go) and was pretty excited to take a sip when I came into the office. Bummer, the coffee has no sugar. Mas BITTER pa sa EX ng boyfriend ko!! Nakakasira ng araw!! Sana pala nag Blugre nalang ako."
Matcha Ureshi Bar,matcha,"The matcha is so good, definitely recommended. The staffs are very accommodating and friendly."
The Matcha Tokyo - SM Davao,matcha,"the sandwich bread is to long toasted. the mayonaise is not from japan. the smoked salmon is nahhh, AND SO SMALL. AND FOR THAT PRICE?"
Starbucks,coffee,Ang smell sa Restoom maabot na sa Counter  nauseated_face  nauseated_face  that's all. This place is just ideal for take out because daghan ga tambay diri. The rest of the staff are doing their very best to serve this busy place too.
KISOM Atelier,matcha,i love the matcha banana puddinggg
The Matcha Tokyo - Azuela High Street,matcha,"Great matcha, cozy ambiance, and perfect lighting for reading or quiet muni-muni moments. The space feels calm and inviting, and the friendly servers make the experience even better, definitely a spot worth coming back to.  teacup_without_handle  green_heart  …"
ANTE FOOD HUB,coffee,"If you're close to Drea, especially if you're from Juliville like me, it's a good place to go if you want to have coffee or snacks, the ambiance is nice and you can just chill. I'll buy it now, just review."
Cafe Tavera,coffee,"Had baked oysters - not the best but it's not bad naman, durian shake- more creamy/milky than fruity, I liked it just the same and pickled mango- came in a generous serving. Stumbled upon this stop as I was avoiding traffic. Staff- there were many, sadly, not very attentive Ambiance- Pinoy vibe, good for families/groups Food choices- Filipino, they have paluto option based on available catch Service- no receipt issued, only credit card copy"
Matcha Bar - Marfori,matcha,Don't tell people that they can only stay here for 60min with an order just so you other customers can dine. We're also paying customers and we want to enjoy our money's worth and moment. It's not our fault if your space is small. Your space might be small but you're not cheap.
Craft Coffee & Roastery,coffee,"I was looking for a coffee shop near our school, and chanced upon this cafè in Dacudao, which is around 700 meters away. Upon entering, the staff welcomed me with a pleasant greeting, super bait talaga to accommodate me.  yellow_heart  I ordered their CSL sea salt latte afterwards. However, I think the milk which they used had gone bad, so after more or less 3 sips, sumakit tiyan ko.  slightly_frowning_face  Thankfully, they were so kind to change it into a cafe latte instead, and the taste is good, 7/10 to my liking. Overall, I love the vibe and ambiance of the place, a conducive one to study or chill, kaso until 10:00 PM lang din sila, so if you're planning to study beyond 10:00, you may want to look for other 24/7 coffee shops. Thank you, Craft Coffee!  heart_hands "
The Matcha Tokyo - Azuela High Street,matcha,"This is the second time i got here and i their matcha is good, but what i really loved is the ambience, would love to come back!"
Whisk It Good Matcha,matcha,"Visited to try Whisk It Good Matcha, and trust me, it's not just hype. Super worth it! May pastries din sila. …"
Paramount Coffee Crocodile Park Davao,coffee,"Food serving on one part of the restaurant which was serving sisig almost overlooked our order, if we didn't follow-up we wouldn't be getting our orders."
Out of Boredom,matcha,"The space is quite small — probably just enough to seat around 10 people inside — so it's not the best pick for big groups. I tried their drinks and they were okay. The matcha was a little too sweet for my taste, and the Spanish latte …"
Matcha Bar - Marfori,matcha,"The matcha in matcha bar is excellent and reliable. Choosing any random matcha drink from the menu and you can get good, high quality matcha. That alone gives matcha bar a high rating for me. …"
Coffeecat,coffee,Cozy ambience. Tasty dishes and desserts. The acoustics can be better. Costs as much as 250 per head.
Whisk Davao Matcha,matcha,Thanks to Angel  smiling_face   thumbs_up 
"Miss Bridgette,",matcha,"Very fast service, unexpectedly had big servings for their dishes. Delicious food and great atmosphere!"
Matcha Bar - Marfori,matcha,100000/10!!!
Pedal Cafe Davao,coffee,"A cup of coffee that I believe is underrated, yet has a moment of pure happiness! Their coffee is not just a drink, it's an experience worth savoring. We tried Spanish Latte & Miss Saigon and they're so worth it! A must try!"
Starbucks,coffee,Coffee is great... A bit pricy nga lang...
Mandatory Matcha Bar,matcha,Their Matcha Gelato is my absolute fave! Small interior space but I absolutely love the intimate atmosphere!
BRGR Alley Café,coffee,"The service crew are very friendly, cheerful and kind. Bet ang place for IG posts. Mist visit place."
Out of Boredom,matcha,The matcha is good but quite pricey but i understand. The place is quite small for my liking and also the place is ment for socials not for working and collaborating. …
Dear Joe Frontera,coffee,Good qualitu coffee and smoothies. Good atmosphere
Knto Cinco - Lapu Lapu,matcha,"… ambiance is cozy, well-designed, and very relaxing. We tried the Pasta El Cinco and it was super yummy. Their matcha and Spanish latte are top tier, and the pizzadilla is a must-try. The service was excellent, with friendly and …"
Paramount Coffee Crocodile Park Davao,coffee,Found my new favorite coffee here. Pizza wasn't as good as I remember. Really hot and humid. Lots of parking space. Best to come here on a cloudy/cool day.
Matcha Ureshi Bar,matcha,I whole experience is superb
